"filename", "language", "JSON", "Batch", "JavaScript", "Log", "comment", "blank", "total"
"d:\bokeh utils code\functions\susPhoto.js", "JavaScript", 0, 0, 57, 0, 0, 12, 69
"d:\bokeh utils code\functions\thankyou.js", "JavaScript", 0, 0, 18, 0, 0, 4, 22
"d:\bokeh utils code\functions\welcomeMsg.js", "JavaScript", 0, 0, 20, 0, 0, 1, 21
"d:\bokeh utils code\handlers\command_handler.js", "JavaScript", 0, 0, 17, 0, 0, 2, 19
"d:\bokeh utils code\handlers\events_handler.js", "JavaScript", 0, 0, 12, 0, 0, 2, 14
"d:\bokeh utils code\index.js", "JavaScript", 0, 0, 59, 0, 0, 15, 74
"d:\bokeh utils code\menubuttons\blue.js", "JavaScript", 0, 0, 44, 0, 0, 5, 49
"d:\bokeh utils code\menubuttons\darkblue.js", "JavaScript", 0, 0, 44, 0, 0, 10, 54
"d:\bokeh utils code\menubuttons\darkgreen.js", "JavaScript", 0, 0, 44, 0, 0, 10, 54
"d:\bokeh utils code\menubuttons\darkorange.js", "JavaScript", 0, 0, 44, 0, 0, 5, 49
"d:\bokeh utils code\menubuttons\darkpink.js", "JavaScript", 0, 0, 44, 0, 0, 5, 49
"d:\bokeh utils code\menubuttons\darkpurple.js", "JavaScript", 0, 0, 44, 0, 0, 5, 49
"d:\bokeh utils code\menubuttons\darkred.js", "JavaScript", 0, 0, 44, 0, 0, 10, 54
"d:\bokeh utils code\menubuttons\darkyellow.js", "JavaScript", 0, 0, 44, 0, 0, 11, 55
"d:\bokeh utils code\menubuttons\green.js", "JavaScript", 0, 0, 44, 0, 0, 10, 54
"d:\bokeh utils code\menubuttons\nocolor.js", "JavaScript", 0, 0, 35, 0, 0, 2, 37
"d:\bokeh utils code\menubuttons\orange.js", "JavaScript", 0, 0, 44, 0, 0, 10, 54
"d:\bokeh utils code\menubuttons\pink.js", "JavaScript", 0, 0, 44, 0, 0, 10, 54
"d:\bokeh utils code\menubuttons\purple.js", "JavaScript", 0, 0, 44, 0, 0, 5, 49
"d:\bokeh utils code\menubuttons\red.js", "JavaScript", 0, 0, 44, 0, 0, 10, 54
"d:\bokeh utils code\menubuttons\yellow.js", "JavaScript", 0, 0, 44, 0, 0, 10, 54
"d:\bokeh utils code\models\rankSchema.js", "JavaScript", 0, 0, 8, 0, 0, 4, 12
"d:\bokeh utils code\package-lock.json", "JSON", 8577, 0, 0, 0, 0, 1, 8578
"d:\bokeh utils code\package.json", "JSON", 45, 0, 0, 0, 0, 1, 46
"d:\bokeh utils code\update.bat", "Batch", 0, 2, 0, 0, 0, 1, 3
"Total", "-", 8630, 8, 5423, 26078, 20, 809, 40968
